1,4.800000
2,5.000000
3,8.900000
4,4.200000
5,4.200000
6,4.200000
7,10.800000
8,3.600000
9,4.200000
10,4.200000
11,4.100000
12,3.800000
13,3.600000
14,3.600000
15,4.800000
16,3.600000
17,4.700000
18,4.100000
19,4.700000
20,4.100000
21,10.800000
22,3.700000
23,4.100000
24,3.500000
25,3.800000
26,3.700000
27,4.000000
28,3.600000
29,3.300000
30,3.500000
31,6.000000
32,4.200000
33,3.600000
34,3.800000
35,10.800000
36,4.000000
37,3.800000
38,3.600000
39,5.700000
40,4.200000
41,3.500000
42,4.100000
43,3.600000
44,3.300000
45,3.600000
46,3.800000
47,4.200000
48,3.800000
49,4.200000
50,4.000000
51,3.600000
52,3.800000
53,3.800000
54,3.600000
55,3.700000
56,4.200000
57,3.700000
58,3.600000
59,4.100000
60,3.500000
61,3.500000
62,3.600000
63,3.600000
64,3.300000
65,3.500000
66,3.500000
67,4.100000
68,3.800000
69,10.800000
70,3.700000
71,3.600000
72,3.600000
73,4.200000
74,3.800000
75,3.800000
76,4.100000
77,3.600000
78,4.200000
79,3.600000
80,3.500000
81,3.700000
82,3.700000
83,3.600000
84,3.600000
85,3.500000
86,3.600000
87,3.600000
88,3.600000
89,3.500000
90,3.600000
91,3.600000
92,3.800000
93,4.100000
94,4.200000
95,3.600000
96,3.500000
97,3.600000
98,4.200000
99,4.200000
100,3.500000
